gene_name	max_af	max_af_pop
GPSM2	0.00344828	gnomADg_AF_asj
CASR	0.000229621	gnomADg_AF_afr
MSH3	0.00092081	gnomADg_AF_oth
EVC	0.0011013215859030838	ExAC_AF_OTH
RANBP2	0.0001155802126675913	ExAC_AF_EAS
GALNS	0.0043	AMR
PYCR2	1.77749e-05	gnomADe_AF_nfe
PAFAH1B1	0.009158	AA
CLPB	0.000922509	gnomADg_AF_oth
TBCK	0.005208333333333333	ExAC_AF_AMR
MAN2B1	0.0014758	gnomADg_AF_fin
FBN2	3.249e-05	gnomAD_SAS
POLG	0.002232142857142857	ExAC_AF_OTH
SCN1A	0.0001163	EA
ERCC6	0.00235849	gnomADg_AF_amr
LRP5	8.983e-06	gnomAD_NFE
PLEKHG5	0.0003652	gnomAD_OTH
ATP8A2	6.48256e-05	gnomADg_AF_nfe
UGT1A4	0.003	EAS
HBB	0.0998	AFR&AFR
MFSD8	0.000641849	gnomADg_AF_eas
PKLR	0.001	EUR
SNHG31	0.0014	AMR
MKKS	0.0002326	EA
ACADM	0.00471698	gnomADg_AF_amr
MYL3	2.978e-05	gnomAD_AMR
B3GAT3	0.0001816860465116279	ExAC_AF_SAS
C10orf105	3.26883e-05	gnomADe_AF_sas
TBK1	0.0002111	gnomAD_OTH
MOGS	0.000114758	gnomADg_AF_afr
KRIT1	6.0569351907934585e-05	ExAC_AF_SAS
LOC100130798	0.0003488	EA
UBA5	0.00662061	gnomADg_AF_fin
NPHS1	0.014587892049598834	ExAC_AF_FIN
TFG	9.011e-06	gnomAD_NFE
ECEL1	0.002033	gnomAD_AMR
PEX26	0.00014848912317172767	ExAC_AF_NFE
IGHMBP2	0.008968	EA
MTA3	0.0001829	gnomAD_OTH
ZMPSTE24	0.00120192	gnomADg_AF_amr
KRT14	1.5008705048928378e-05	ExAC_AF_NFE
NPHS2	0.0011792452830188679	ExAC_AF_OTH
PMS2	0.00235849	gnomADg_AF_amr
STAMBP	0.0003488	EA
SPATA22	0.0103448	gnomADg_AF_asj
TRAPPC11	0.0009276	gnomAD_EAS
FOXL2	0.000927644	gnomADe_AF_asj
HOGA1	0.009141	gnomAD_ASJ
AHI1	0.004781	gnomAD_SAS
SHOC2	6.48172e-05	gnomADg_AF_nfe
SYNE1	0.000163239	gnomADe_AF_oth
TWNK	0.00316456	gnomADg_AF_fin
TTR	0.0197	AFR
ATP13A2	0.00694444	gnomADg_AF_asj
ECHS1	0.0007064705456126367	ExAC_AF_NFE
C17orf107	0.0022026431718061676	ExAC_AF_OTH
FGF23	1.5376099391106463e-05	ExAC_AF_NFE
PQBP1	0.00021089037918090177	ExAC_AF_NFE
CCDC40	0.0008778	gnomAD_NFE
PNPO	0.0008	AFR
DCX	6.24688e-05	gnomADe_AF_fin
CUL7	0.000163079	gnomADe_AF_oth
LIPT2	0.000519953	gnomADg_AF_nfe
CHM	2.1126016689553186e-05	ExAC_AF_NFE
ADGRG1	0.0008	AFR
TYMP	0.0010638297872340426	ExAC_AF_AMR
CYP1B1	0.006060606060606061	ExAC_AF_OTH
PRKN	0.00460405	gnomADg_AF_oth
PALB2	0.00203252	gnomADe_AF_fin
GRM6	0.0003488	EA
POMGNT1	0.00259067	gnomADg_AF_fin
SOS1	3.27633e-05	gnomADe_AF_sas
RPGRIP1L	0.0007036	AA
ACSF3	0.0002423	EA
ATP7B	0.00536459	gnomADe_AF_asj
PEPD	0.001	EUR
LCA5	0.00228447	gnomADe_AF_asj
MRPS34	0.007633587786259542	ExAC_AF_NFE
TH2-LCR	0.00117925	gnomADg_AF_amr
CACNA1S	0.000922509	gnomADg_AF_oth
MESP2	0.00235849	gnomADg_AF_amr
STING1	6.15309e-05	gnomADe_AF_afr
CNGB3	0.00344828	gnomADg_AF_asj
FLG-AS1	0.001	EUR
SIL1	0.0002326	EA
TULP1	0.000227	AA
MYO3A	0.0007036	AA
SCN5A	0.000344116	gnomADg_AF_afr
ATRIP-TREX1	0.00117925	gnomADg_AF_amr
MAT1A	0.001	SAS
MCCC1	0.0011013215859030838	ExAC_AF_OTH
COL4A5	0.0004115	gnomAD_ASJ
CLRN1	0.000803489	gnomADg_AF_afr
WAS	0.001	AFR
TPM1	0.000287853	gnomADg_AF_fin
MPL	0.00823673	gnomADe_AF_asj
MLH1	0.001	EAS&EAS
RAD51D	0.0011013215859030838	ExAC_AF_OTH
LOC101928174	0.000129651	gnomADg_AF_nfe
SGCG	0.0001823	gnomAD_OTH
CSRP3	0.0001307	gnomAD_AFR&gnomAD_AFR
PROC	0.0006661821705426356	ExAC_AF_SAS
ATP1A2	9.197e-06	gnomAD_NFE
SLC17A5	0.00614489	gnomADe_AF_fin
SPINK1	0.003532608695652174	ExAC_AF_EAS
SMPD1	0.00689655	gnomADg_AF_asj
AP4B1-AS1	0.0007112	gnomAD_ASJ
GJB6	9.006e-06	gnomAD_NFE
ARSA	0.0013192187650825317	ExAC_AF_NFE
KCNQ3	6.0569351907934585e-05	ExAC_AF_SAS
NCAPH2	0.0003488	EA
WNT10A	0.00142672	gnomADg_AF_nfe
SOX2	0.00019973368841544607	ExAC_AF_NFE
FECH	0.375542064180399	ExAC_AF_AMR
TMC1	0.001141552511415525	ExAC_AF_OTH
TINF2	0.001	EUR
PYCR1	0.00041425020712510354	ExAC_AF_AFR
TGFBR1	0.000163079	gnomADe_AF_oth
MPV17	0.000227	AA
RARS2	0.002944423997055576	ExAC_AF_AMR
NUBPL	0.000919118	gnomADg_AF_oth
PROK2	0.0002596	gnomAD_NFE
ELP2	1.4983518130056938e-05	ExAC_AF_NFE
F8	0.0005848	ExAC_AF
TBCD	0.000406174	gnomADe_AF_amr
SPINK5	0.000952381	gnomADg_AF_oth
GNPTG	0.0007274	EA
ENPP1	0.0001163	EA
AP4B1	0.0007112	gnomAD_ASJ
ADA2	0.0014	AMR
COCH	8.951e-06	gnomAD_NFE
PLA2G6	0.001	EAS
LARS2	0.002	EUR
PRX	0.0022123893805309734	ExAC_AF_OTH
RS1	6.24688e-05	gnomADe_AF_fin
AQP2	0.00117925	gnomADg_AF_amr
CYB5R3	1.797e-05	gnomAD_NFE
EVC2	0.0015873	gnomADe_AF_asj
COL6A3	0.00117925	gnomADg_AF_amr
PCCB	0.00137709	gnomADg_AF_afr
C12orf57	9.619084263178146e-05	ExAC_AF_AFR
LPL	0.0014	AMR
ACVRL1	0.00021482277121374866	ExAC_AF_AFR
PNKP	0.00111359	gnomADg_AF_eas
GFM1	0.0014	AMR
INPP5E	0.0006827	AA
STAT3	8.965e-06	gnomAD_NFE
PYGM	0.006906	EA
DOCK7	9.436e-06	gnomAD_NFE
RECQL4	0.003208	gnomAD_ASJ
PAX2	0.0011904761904761906	ExAC_AF_OTH
WDR73	6.49098e-05	gnomADg_AF_nfe
TMEM70	0.0014	AMR
CHROMR	0.000919118	gnomADg_AF_oth
UGT1A3	0.003	EAS
TMPRSS3	0.0029	AMR
ALG6	0.0009686	gnomAD_NFE
SYNE4	0.001351	AA
PFKM	0.0137931	gnomADg_AF_asj
MID1	2.086942003881712e-05	ExAC_AF_NFE
COQ2	0.00011179846463441902	ExAC_AF_NFE
SMARCB1	1.105e-05	gnomAD_NFE
UGT1A1	0.003	EAS
PRKRA	0.000919118	gnomADg_AF_oth
NTHL1	0.004347826086956522	ExAC_AF_OTH
NDUFV1	0.0029	AMR
ATP6V0A2	0.0002349	AA
CHRNG	0.00206	EA
SLC52A2	0.000259403	gnomADg_AF_nfe
DCDC2	6.48593e-05	gnomADg_AF_nfe
ABHD12	6.279040562602035e-05	ExAC_AF_SAS
SLC19A2	6.48256e-05	gnomADg_AF_nfe
STK11	3.4369e-05	gnomADe_AF_sas
MARVELD2	0.0002398441013341328	ExAC_AF_NFE
ADAR	6.48845e-05	gnomADg_AF_nfe
LMBRD1	0.001094	EA
DSP	0.0005117	gnomAD_ASJ
APOB	6.4834e-05	gnomADg_AF_nfe
CENPE	0.0014	AMR
WT1	0.000919118	gnomADg_AF_oth
CLCNKB	0.00276243	gnomADg_AF_oth
CDKL5	6.24688e-05	gnomADe_AF_fin
CC2D2A	0.003581	EA
ABCC6	0.0030238887208950713	ExAC_AF_FIN
SEPSECS	6.48845e-05	gnomADg_AF_nfe
MET	6.4834e-05	gnomADg_AF_nfe
HINT1	0.00183824	gnomADg_AF_oth
SIX1	6.536e-05	gnomAD_AFR
KPTN	0.00144175	gnomADg_AF_fin
DNAI1	0.000739359	gnomADe_AF_nfe
HPS3	0.001625	gnomAD_ASJ
SLC12A3	0.00689655	gnomADg_AF_asj
AGK	0.0005789717461787865	ExAC_AF_EAS
PEX1	0.001092034217072135	ExAC_AF_NFE
NAGA	0.00460405	gnomADg_AF_oth
NDUFB3	0.00275735	gnomADg_AF_oth
UNC13D	0.0029	AMR
LOC106804612	0.00130039	gnomADg_AF_eas
GP9	0.0010728946386366464	ExAC_AF_NFE
HADHA	0.00426	gnomAD_FIN
C1QTNF5	0.000230097	gnomADg_AF_afr
OTOF	0.0014	AMR
GLI2	5.78704e-05	gnomADe_AF_amr
CERKL	0.0006663435909861885	ExAC_AF_SAS
RBM20	4.199e-05	gnomAD_AMR
MFF-DT	0.001914	EA
NALCN	0.0001163	EA
MFN2	0.001	EUR
TMCO1	0.01636	EA
FLNB	4.62065e-05	gnomADe_AF_fin
IFT140	0.0003648	gnomAD_OTH
PNPLA6	0.0004848	EA
XRCC2	0.001	EUR
EDA	4.606e-05	gnomAD_AMR
HGSNAT	0.000919118	gnomADg_AF_oth
TRIOBP	0.000197161	gnomADe_AF_oth
PACS1	0.00011555350127108852	ExAC_AF_EAS
CNGA3	0.00183824	gnomADg_AF_oth
PKP2	0.000297678	gnomADe_AF_asj
ABCC2	0.0014	AMR
CLASP1	0.001	EUR
SPTA1	0.0015	AFR
SURF1	0.00521	EA
SLC6A3	1.741e-05	gnomAD_NFE
RYR2	0.001	EUR
TP53BP1	0.00235849	gnomADg_AF_amr
ERCC2	0.00344828	gnomADg_AF_asj
RPE65	0.00118483	gnomADg_AF_amr
APOA5	0.0006067961165048543	ExAC_AF_FIN
EIF2B2	0.0005814	EA
SGCB	0.001	SAS
DOP1A	0.0001163	EA
MMAA	0.0004651	EA
ABCA4	0.023715	gnomADe_AF_asj
PEX7	0.0015	AFR
MFRP	0.000230097	gnomADg_AF_afr
PIGV	0.000919118	gnomADg_AF_oth
FKBP14	0.0043	AMR
GARS1	8.965e-06	gnomAD_NFE
EXOSC3	0.0014204545454545455	ExAC_AF_OTH
F11-AS1	0.0011013215859030838	ExAC_AF_OTH
PSEN1	0.0014	AMR
CHRNA1	0.00043245113302196853	ExAC_AF_AMR
DEAF1	1.5064778547755348e-05	ExAC_AF_NFE
HMBS	0.00036258158085569254	ExAC_AF_AFR
PIGO	0.0006809	AA
PCDH19	0.0007699217246246631	ExAC_AF_AFR
MTR	0.000641026	gnomADg_AF_eas
RBM8A	0.03448640867135236	ExAC_AF_NFE
TUBGCP4	0.00235849	gnomADg_AF_amr
MTFMT	0.001096	EA
SLC19A3	0.001	EUR
F9	0.00123609	gnomADg_AF_oth
CANT1	0.0005191209551825575	ExAC_AF_AMR
LOC100506071	8.951e-06	gnomAD_NFE
NR2E3	0.00914634	gnomADg_AF_amr
HSPB1	0.0001838	gnomAD_OTH
RDH12	0.0029	AMR
ITPA	0.000163399	gnomADe_AF_oth
GYG1	0.002	EUR
HPD	0.000424642	gnomADe_AF_sas
RECQL	0.0003814	gnomAD_OTH
ALDH18A1	0.0014	AMR
CPT1A	0.00117925	gnomADg_AF_amr
ZFYVE26	0.00128205	gnomADg_AF_eas
BAG3	0.001	EUR
CBLIF	0.00235849	gnomADg_AF_amr
FBXL3	0.0009135200974421437	ExAC_AF_FIN
LOC102723833	0.00118203	gnomADg_AF_amr
RNASEH2C	0.000718579	gnomADe_AF_sas
GAMT	0.001	EUR
ATP6V0A4	0.0006079555323953448	ExAC_AF_AMR
SUMF1	0.00344828	gnomADg_AF_asj
ABRAXAS1	0.0006047777441790142	ExAC_AF_FIN
CDH23	0.0012755102040816326	ExAC_AF_EAS
L2HGDH	0.000227	AA
CACNA1A	0.000120163	gnomADe_AF_fin
POLR3A	0.0008	AFR
DGAT1	0.005423	gnomAD_ASJ
DLD	0.0172414	gnomADg_AF_asj
FAM161A	0.00344828	gnomADg_AF_asj
NODAL	2.978e-05	gnomAD_AMR
CHRNE	0.0035460992907801418	ExAC_AF_OTH
LZTR1	0.0014	AMR
TRMU	0.002	SAS
CEP290	0.02196921103271328	ExAC_AF_NFE
NIPAL4	0.001915	EA
LOC105371046	0.0003648	gnomAD_OTH
NF1	0.000919118	gnomADg_AF_oth
CYP24A1	0.00201381	gnomADg_AF_fin
GALNT3	0.00114758	gnomADg_AF_afr
EARS2	0.000922509	gnomADg_AF_oth
NCF1	0.01162	gnomAD_ASJ
TRIM32	4.62065e-05	gnomADe_AF_fin
WRN	0.0014	AMR
POMT1	0.001331	gnomAD_ASJ
TTC37	0.0031	SAS
BSCL2	0.0001016	gnomAD_ASJ
BBS7	0.00586	AA
TGFBR2	4.61979e-05	gnomADe_AF_fin
CFTR-AS1	0.09801	EA
RNASEH2A	1.4983967155143995e-05	ExAC_AF_NFE
IQCB1	0.00448718	gnomADg_AF_eas
NGLY1	0.002	EAS
COL6A2	0.00344828	gnomADg_AF_asj
EIF2B3	0.000129668	gnomADg_AF_nfe
LRP2	6.589e-05	ExAC_AF
BRAT1	0.0013451708366962604	ExAC_AF_NFE
SAR1B	5.43e-05	gnomAD_NFE
PAH	0.00689655	gnomADg_AF_asj
CRPPA	0.00118203	gnomADg_AF_amr
FKTN	0.0137931	gnomADg_AF_asj
SRD5A2	0.00833333	gnomADg_AF_eas
ASNS	1.5062509414068383e-05	ExAC_AF_NFE
HSD17B4	0.00092081	gnomADg_AF_oth
IDUA	0.0032455135547919053	ExAC_AF_FIN
MED12L	2.699e-05	gnomAD_NFE
EDAR	0.000919118	gnomADg_AF_oth
SLC2A10	0.01126	AA
CASQ2	0.0004539	AA
FSHB	0.002238	gnomAD_ASJ
CLCN1	0.01682	gnomAD_FIN
SLC25A3	9.01e-05	gnomAD_AMR
PUS3	0.0120968	gnomADg_AF_fin
POR	0.0010065425264217413	ExAC_AF_EAS
SCN1B	0.000194452	gnomADg_AF_nfe
KCNJ1	0.001	EAS
LOC107303340	5.956e-05	gnomAD_AMR
LAMA3	2.997961386257345e-05	ExAC_AF_NFE
HJV	0.000648424	gnomADg_AF_nfe
DYNC2H1	0.0009673852957435047	ExAC_AF_AFR
MRE11	0.0002902	gnomAD_EAS
GJB1	0.00019357336430507162	ExAC_AF_EAS
BCKDHA	0.0014	AMR
RTEL1	0.00689655	gnomADg_AF_asj
LOC102724058	0.0001163	EA
ABCC8	0.00605399	gnomADe_AF_asj
MYL2	0.0014	AMR&AMR&AMR
SPAST	4.64037e-05	gnomADe_AF_fin
PCDH15	0.000288184	gnomADg_AF_fin
PKHD1	0.00747986	gnomADg_AF_fin
KRAS	0.000111185234600845	ExAC_AF_AFR
MMACHC	0.002	EUR
ABCB11	0.000496853	gnomADe_AF_oth
CSNK2A1	8.96e-06	gnomAD_NFE
ANO10	0.002787	EA
CYP11B1	0.003	AFR
MSH2	0.01858	gnomAD_EAS
G6PD	0.01745	gnomAD_SAS
SPR	0.00117925	gnomADg_AF_amr
FBP1	0.00117925	gnomADg_AF_amr
AGXT	0.003246753246753247	ExAC_AF_OTH
BCKDHB	0.0137931	gnomADg_AF_asj
TNFRSF13B	0.0011013215859030838	ExAC_AF_OTH
SLC5A2	0.00347222	gnomADg_AF_asj
PREPL	6.282e-05	gnomAD_NFE
TRB	0.0002326	EA
PHGDH	0.001727	gnomAD_ASJ
STXBP2	0.00117925	gnomADg_AF_amr
HDAC8	2.0897768118364958e-05	ExAC_AF_NFE
ORC4	0.00015151515151515152	ExAC_AF_FIN
AHCY	0.0003488	EA
FRRS1L	0.0003646	gnomAD_OTH
MALT1	6.559e-05	gnomAD_AFR
ERCC8	0.0002326	EA
TGM5	0.004536	EA
LMNA	0.000919118	gnomADg_AF_oth
RAG2	8.952e-06	gnomAD_NFE
MPZ	0.0001489	gnomAD_AMR
NDUFAF2	0.0002903	gnomAD_EAS
ASS1	0.0014063755692472542	ExAC_AF_SAS
LOC110006319	0.0011013215859030838	ExAC_AF_OTH
UGT1A9	0.003	EAS
TNFRSF1A	0.0003422	gnomAD_NFE
ARG1	0.00118203	gnomADg_AF_amr
CYP21A2	0.062963	gnomADg_AF_asj
AXIN2	0.0012853470437017994	ExAC_AF_AFR
PDE6B	0.000804783	gnomADg_AF_afr
SLC37A4	0.00347222	gnomADg_AF_asj
AGA	0.000288018	gnomADg_AF_fin
FANCA	0.001685	gnomAD_ASJ
SLC35A3	0.001362	gnomAD_ASJ
RAD51C	0.0011061946902654867	ExAC_AF_OTH
GAREM2	0.00426	gnomAD_FIN
GNB5	0.00117925	gnomADg_AF_amr
LRPPRC	0.0003648	gnomAD_OTH
TTPA	0.01501	AA
HMGCL	0.000919118	gnomADg_AF_oth
KCNQ1OT1	5.78168e-05	gnomADe_AF_amr
